Arvore,D,H,V
1,83,9,4.56
2,90.4,18,7.68
3,95.17,14,6.71
4,86.58,16,5.16
5,96.45,14,5.81
6,57.93,17,2.91
7,76.39,14,5.12
8,76.08,16,4.8
9,76.39,15,4.1
10,66.85,18,3.44
11,124.14,12,11.06
12,101.22,14,7.22
13,73.53,17,5.43
14,75.12,12,3.13
15,77.35,13,4
16,82.12,16,6.18
17,75.76,13,3.15
18,76.39,12,4.13
19,98.36,19,9.38
20,86,16,6.56
21,63,15,1.89
22,59,10,2.22
23,140.06,15,11.83
24,95.49,12,6.2
25,74.48,12,4.1
26,57.93,18,2.29
27,82.76,13,3.78
28,128.92,18,17.58
29,70.03,14,4.79
30,102.81,17,7.49
31,85.94,16,7.58
32,70.66,9,2.88
