D,H,V
18,16.1,0.1968412
6.8,7.95,0.016671804
7.5,11.74,0.028451944
14.9,16.5,0.131809054
9.9,13.84,0.065525769
11.2,13,0.057691422
11.7,15.6,0.082867046
7.1,12.7,0.026694113
15,18.3,0.153028549
12.6,17.2,0.100118788
20.6,22,0.316939575
23.5,16.7,0.263244416
17.4,16.2,0.195607968
19.2,16.15,0.203258021
7,6.87,0.014186396
14.6,17.9,0.141225507
6.6,8.9,0.016597348
15.3,17.4,0.161907004
10.8,15.25,0.049014343
17.1,17.72,0.157749577
16.2,16.99,0.191800797
15.4,17.55,0.139096803
14.3,17.87,0.15799148
11.3,14.6,0.065610121
19.8,14.38,0.261575539
18.1,15.34,0.250182804
14,16.6,0.127269374
13.2,18.37,0.143249305
11.3,14.88,0.070194427
15.8,18.37,0.152774865
16.9,19.42,0.242605958
14,18.29,0.128410432
19.4,20.15,0.279525837
13.1,18.3,0.114248729
17.8,19.5,0.162981114
13.8,19.3,0.135264178
13.6,14,0.109611738
9.6,12.67,0.048578447
9.9,13.26,0.044924649
7.3,12.2,0.024532069
9.5,13.54,0.040078868
14.2,17.44,0.162375918
18.6,17.5,0.215808173
14.4,16.7,0.118805217
14.3,13.95,0.109319727
17,19,0.180653359
16.2,19.5,0.152882465
14.5,19.4,0.155266934
18.2,18.8,0.205359
17.9,20.18,0.21767285
18.3,20.5,0.263102494
14.6,18.1,0.149856247
13.4,16.3,0.108511239
13.3,15.5,0.08809497
12.3,15.74,0.10023099
7.2,8.78,0.022432542
7,8.6,0.012243101
7.2,9.8,0.022872365
9.3,10.48,0.025082099
12.4,17.8,0.149755638
13.3,17.59,0.110838248
14,15.3,0.112768411
14.3,18.3,0.168410415
14.7,18.2,0.12671771
15.6,18.36,0.200868125
17.1,18.8,0.164509499
18,18.15,0.172675873
18.2,19.94,0.20950994
19.6,20.1,0.305793204
21.9,14.8,0.2657668
