n,D,H,WSG,AGB
1,6.4,5,1.04,7.07
2,11.8,8.7,1.04,46.44
3,15,8.9,0.83,81.42
4,20,11.6,0.83,158.66
5,9.7,11.3,0.92,27.18
6,20.8,14.3,0.92,232.32
7,8,6.7,0.63,18.1
8,10.2,7.2,0.63,22.53
9,10.5,6.8,0.63,42.16
10,10.2,12,0.57,46.73
11,11.1,12,0.51,37.45
12,11.5,15,0.52,55.79
13,15.8,16.5,0.55,140.31
14,16.6,12,0.58,105.17
15,23,18.3,0.57,243.02
16,13.6,16.3,0.4,40.19
17,16.7,14.2,0.4,94.04
18,22.6,13.1,0.4,159.49
19,38.2,14.6,0.4,627.41
20,8.2,9.1,0.39,17.09
21,15.5,14.2,0.48,74.28
22,17,19.1,0.44,105.56
23,6.8,10.8,0.74,17.41
24,11.3,11.5,0.72,55.99
25,8.4,13.5,0.54,25.54
26,9.6,14.7,0.58,35.49
27,10.7,13.5,0.65,39.68
28,15.3,17.2,0.7,129.87
29,16.4,19.3,0.45,131.92
30,9.3,15,0.6,43.85
31,9.7,14.6,0.51,43.09
32,12.5,16,0.66,88.71
33,15.4,15.6,0.55,102.27
34,10,7,0.61,18.24
35,21,19,0.34,190.29
36,12,19,0.78,36.97
37,11,11,0.67,54.67
38,19,22,0.67,329.86
39,21,23,0.67,335.33
40,11,14,0.85,90.12
41,13,18,0.85,137.2
42,28,24,0.83,1312.46
43,60,34,0.52,3204.19
44,14,12,0.6,85.38
45,11,16,0.55,77.82
46,18,21,0.82,357.12
47,13,13,0.61,74.63
48,18,20,0.53,192.19
49,31,24,0.46,699.05
50,12,16,0.72,95.94
51,10,11,0.39,35.39
52,11,16,0.63,46.41
53,11,12,0.63,70.8
54,18,17,0.63,154.1
55,26,18,0.63,689.6
56,35,20,0.63,1290.55
57,10,15,0.77,46.37
58,10,12,0.58,31.2
59,28.1,26,0.65,668.9
60,45.3,27.7,0.85,2375.7
61,31,26.8,0.79,1299.6
62,40.3,33.5,0.65,1661.6
63,32.1,33,0.65,893.75
64,5.3,8.3,0.47,7.8
65,5,8.2,0.74,8.58
66,7.5,10.3,0.68,20.77
67,37,24,0.46,660.66
68,16.6,17.2,0.48,115.57
69,5.2,6.3,0.77,5.28
70,79.4,35,0.81,10045
71,92.5,47.4,0.67,13078.38
72,100,49.3,0.67,21735.71
73,113.5,43.3,0.67,27678.53
74,106.5,49.3,0.78,22657.58
75,129,48.3,0.57,19776.42
76,119.8,52.7,0.57,24377.97
77,112.8,47,0.75,30530.99
78,104.5,47.7,0.55,17663.89
79,111,47.2,0.33,8650.35
80,105,46.5,0.33,8845.14
81,96.9,46.4,0.33,6135.58
82,44,39.2,0.75,2832.8
83,28.8,26.9,0.71,951.3
84,54.9,35.9,0.53,1708.34
85,7.8,10.1,0.48,20.78
86,57.7,31.1,0.43,2681.67
87,13.6,15.9,0.42,81.66
88,38.5,27.8,0.72,1589.64
89,8.2,14.9,0.44,41.94
90,17.1,19.8,0.71,212.44
91,56.3,32.9,0.49,2167.89
92,10.7,15,0.5,42.45
